charTrigrams,wordBigrams,wordUnigrams
up,the all,hotel
anc,stand right,race
s i,ralli nazi,candid
lic,cover face,drum
d n,lucha bright,about
ish,revolut tour,hurt
ama,protest we,doesnt
che,call gun,truth
xpe,right ralli,realiti
 em,a day,heard
aso,clear messag,caus
nst,and here,stupid
lat,if think,paul
d e,sic semper,perform
s r,semper tyranni,network
vid,we stand,educ
alt,happili marri,monday
s l,marri thank,appar
 ci,thank sean,domest
omp,sean spicier,film
esi,spicier take,comment
red,take leav,imag
aw,leav lefti,freedom
uch,lefti hilari,reach
sea,hilari seeth,hundr
hoo,sandi hook,ignor
tec,w amp,scare
ese,va if,msm
cit,well arm,wont
top,patriot side,becaus
m t,side side,extremist
lif,side peac,can
sec,protest now,buy
 ve,now juxtapos,demonstr
fac,juxtapos that,everywher
 ap,that imag,crazi
atc,imag antifa,activist
dea,antifa ralli,capitol
ian,beyond polit,upon
ev,polit guy,least
med,guy it,air
til,gun grab,truli
gen,it never,told
n n,never happen,concern
h c,if miss,politician
h a,media lie,ground
og,pictur like,virginian
orm,men mask,outsid
wn,amp gun,limit
wel,know amp,fear
cro,amp the,worri
ft,would give,ahead
ann,pay attent,isnt
she,the gun,smile
nni,gun crowd,god
y a,all gun,act
giv,no riot,armi
ark,though i,worth
den,taken lead,laugh
ict,the answer,hey
e u,extremist white,california
ang,no gun,instead
les,buy one,page
ett,one new,mark
d h,seem pretti,hashtag
s b,american patriot,expos
dec,arent problem,out
ctu,didnt envis,train
ous,news media,grate
ci,media democrat,seek
rda,the msm,daili
r n,some say,pop
hey,hype i,deal
ud,arm citizen,along
fe,it also,insight
erv,today n,effect
eme,defeat the,excel
y h,today peac,increas
s f,pro a,challeng
oli,use gun,form
vis,amp peac,near
ili,peac demonstr,born
ssi,tucker carlson,profession
use,carlson s,em
wea,show talk,shoutout
br,say peopl,clark
ign,polit parti,podcast
cur,amp one,fit
l i,shot kill,queen
ash,free speech,style
ici,northam i,tag
cra,i blackfac,featur
bri,blackfac today,damn
spo,appli conceal,gon
pe,conceal carri,saturday
k f,rosa park,student
got,freedom love,ft
fol,love american,strategi
s e,everywher thank,art
 ru,antifa infiltr,hard
ona,forget still,partnership
h l,still dont,els
jus,know governor,weather
emb,governor tri,max
y m,right virginia,risk
ith,wear kkk,account
alk,robe one,brown
ak,wear blackfac,soon
m p,blackfac other,extra
atr,other elect,local
lay,democrat look,panel
gro,look way,system
w y,way stay,program
 op,stay power,lucki
whe,power think,advanc
t v,think crazi,miln
 qu,gun activist,smarter
k l,left s,exhibit
 of,today and,lannist
pit,these men,stark
my,and or,patient
no,thi america,understand
y c,men right,click
cat,see much,technolog
avo,support nd,victim
dog,we compli,money
m a,capitol today,where
ade,martin luther,rule
wou,luther king,univers
t k,king jr,activ
ail,right must,movement
ene,infring upon,mandela
ine,one reason,urg
sit,self defens,speech
ema,disarm citizen,over
bla,msnbc call,draw
y l,sh t,youv
w a,group pick,critic
 up,thank everi,corpor
ffe,everi person,idea
ie,ralli today,fail
bel,today you,drama
pas,peopl i,rate
orl,truli proud,suck
c c,last one,consist
um,your tell,earli
c s,us got,should
i v,mani arm,pre
pt,everyday american,gov
 ju,right the,ralph
 is,peopl fli,potenti
erd,fli confeder,cheer
poo,almost polic,c
nne,arm peopl,kkk
m e,there no,arent
wat,capitol ground,coverag
y w,take time,non
m i,black peopl,execut
gh,ralli support,unconstitut
cti,remind virginian,wave
y b,virginian vote,donald
ig,safeti and,warn
orr,we live,tyranni
lth,young black,instagram
vot,one week,beyond
g s,post pictur,hang
stu,i wan,f
ret,peopl white,muslim
hol,owner like,step
sk,tri stir,term
hon,thi n,prove
c p,right protect,natur
na,amp divers,threat
dia,attend today,talent
y i,violenc sinc,deep
a c,assault weapon,msnbc
off,weapon ban,panic
ore,there violenc,arriv
atu,patriot american,blackfac
hop,know gun,mlk
mpa,gun nut,tip
kee,on must,theyr
cut,someth like,sweet
iv,shot kansa,exactli
age,citi peopl,volunt
tel,we cant,charlottesvil
 el,media s,deserv
lis,leav right,ban
ich,im glad,four
 va,glad hear,brought
two,peac product,battl
y p,peopl clean,size
emi,thousand white,inform
erm,attende there,reveal
tag,day just,o
k w,a well,especi
wer,well regul,result
 tu,regul militia,sorri
kin,militia necessari,prison
s g,necessari secur,knew
tat,secur free,anti
acc,free state,entir
mpl,state right,ive
o p,right peopl,longer
 ag,peopl keep,process
