charTrigrams,wordBigrams,wordUnigrams
e n,god rampalji,date
era,ji today,becam
ra,world live,rock
fil,live like,st
ili,like famili,univers
n m,famili fight,heard
rm,fight religion,child
e k,everyon follow,greek
rk,maharaj watch,realiti
nni,kabir sahib,english
a s,india becom,rip
nam,world all,clean
do,corrupt briberi,month
sea,femal feticid,action
red,holi scriptur,experi
ran,now golden,current
rue,make life,thread
o n,age the,constitut
iri,chyren appear,lie
n i,ji spiritu,obedi
ond,establish peac,elder
hum,maharaj come,bhakti
ese,you listen,remov
hoo,listen hi,satbhakti
 ve,hi knowledg,problem
 er,knowledg he,will
soc,he one,discrimin
oci,one who,south
lit,who appli,crime
ass,appli rule,water
thr,rule regul,news
op,regul explain,system
ink,explain suprem,danc
tte,saheb no,then
ip,one he,bright
tu,he onli,sooner
are,do know,alcohol
m m,the lord,upcom
oot,lord sant,period
d g,maharaj god,kalki
l f,god east,asuka
hil,east south,three
aso,south north,lannist
ext,north west,sale
no,west sant,februari
 fu,maharaj best,mayb
d r,come everi,daili
arr,in everi,line
ait,real way,someth
sen,worship watch,light
wri,m ist,sinc
lon,give freedom,onc
eti,freedom azaadi,remind
 qu,azaadi theft,sad
ual,theft dowri,job
ire,dowri corrupt,found
e o,corrupt intox,b
rig,intox tobacco,bird
ce,tobacco he,sound
l c,he true,clark
not,true liber,went
ore,liber world,spell
bea,world must,e
 bu,world peac,import
 at,satyug lion,winnie
hip,lion goat,tree
kal,goat use,braver
ilm,use drink,smarter
 gu,drink water,robin
y t,water pond,though
to,pond lion,gift
m g,lion also,nobodi
irs,also vegetarian,classic
row,vegetarian present,decis
so,maharaj human,written
nte,human anim,peak
bes,anim vegetarian,behind
r i,for inform,winner
ooo,make india,luv
rac,theft briberi,can
oh,discrimin rich,guess
uma,low cast,swan
 of,cast elimin,nice
tak,elimin all,queen
oni,atmospher mutual,low
s g,mutual harmoni,leg
i i,india saint,entertain
hel,dowry fre,repli
mor,femal foeticid,law
ict,propheci woman,these
poo,woman astrolog,guru
dre,astrolog america,provid
cri,america jean,father
oon,jean dixon,fre
wai,dixon saint,shown
eco,spiritu would,understand
s t,would probabl,quarrel
out,probabl origin,smoke
qua,origin leadership,known
 ap,leadership indian,among
 it,indian man,reveal
 ri,man rural,kundavai
orm,rural famili,chola
i n,long time,actress
sha,vegetarian golden,success
lat,know more,releas
cto,satguru rampal,april
 jo,satsang sadhana,ignor
soo,complet saint,list
eed,maharaj true,link
che,yug bring,stage
s a,everyon consid,j
aus,maharaj creat,feat
bec,present qualiti,sophi
inn,jagatguru saint,max
ul,in kabir,von
por,like golden,sydow
rou,film danc,crown
 ad,danc song,presal
fan,song stop,field
nex,maharaj start,ill
inc,human devot,lost
tho,widow golden,hold
scr,take initi,point
pt,initi saint,across
r l,daughter sister,level
ooh,adulteri shameless,defeat
ban,by tatvagyan,gave
lor,social reform,walk
fre,give dowri,beat
ac,look upon,citi
lli,maharaj kabir,voic
big,life one,everybodi
gam,worship suprem,battl
tan,world to,fake
k t,t drink,cool
d i,drink liquor,reason
rol,liquor do,local
l a,eat tobacco,behalf
h i,tobacco do,stand
ama,dowri marriag,nd
k b,marriag do,holi
g t,t harass,els
iet,harass weaker,might
 im,weaker section,practic
use,section societi,aim
lig,societi do,nation
pen,t lie,some
nde,lie money,piglet
ade,inform must,mean
m p,on new,did
wou,sing glori,design
d d,come true,honey
s w,him he,seven
lif,when india,challeng
p s,india known,nomin
cie,known world,care
r e,world golden,christoph
pic,in whole,hundr
cas,great saint,wood
mpl,world peopl,forc
mos,peopl s,kick
lm,world one,realiz
 tw,consum meat,forget
my,come in,preciou
ace,alreadi start,arriv
a n,start devote,learn
pec,maharaj kill,journey
m r,kill live,enjoy
ang,is go,visit
r r,go bless,travel
owr,us would,safe
m t,would sorrow,weekend
ick,sorrow era,save
d h,soon india,pre
pos,india know,whether
ini,hindu sant,intern
n k,maharaj savioroftheworld,equal
l b,savioroftheworld must,ft
xt,worship god,throwback
unt,god there,pl
y s,maharaj teach,bit
ak,saheb appli,room
r h,appli whole,put
l d,world good,be
t k,good qualiti,turkish
tel,qualiti develop,gain
epi,develop within,
wom,within men,interest
ana,women help,remain
nne,help spiritu,prosper
kin,knowledg kabir,intoxic
phi,maharaj lord,divid
l h,jai gurudev,taken
las,gurudev mathura,fraud
dic,vegetarian magazin,reviv
ft,spiritu revolut,servic
fee,revolut start,diseas
r g,spread across,hindi
t o,across globe,scriptur
ntr,globe rate,addict
fe,rate never,establish
ele,never seen,north
omp,seen histori,west
igi,histori saint,valu
ert,vishwaguru the,rate
dir,the era,ist
nig,era ofhgolden,build
m a,ofhgolden agea,astrolog
o s,agea start,civilis
 as,man bring,polici
cor,age kali,cheat
ber,satyug kalyug,him
eak,world victori,male
ev,victori saint,increas
eci,maharaj hindu,death
 el,hindu chyren,accept
 pi,savior saint,naam
s p,ji chief,harass
eet,chief world,virtuou
eel,world nostradamu,glori
hot,nostradamu shock,vulgar
rev,shock propheci,thu
 ce,children also,sacr
c a,also tell,burn
acc,tell onc,serv
exp,india worldguru,bless
rri,t smoke,kali
bl,smoke do,media
s b,meat do,duti
bel,go happen,shock
anc,come golden,creator
aug,harmoni prevail,await
itt,prevail earth,issu
eth,come saint,act
wel,peopl becom,sourc
lie,come lord,major
ci,new world,costum
don,director s,dark
g g,play role,hero
hal,start th,air
tro,th month,ha
rsh,month the,event
cen,the locat,mega
boo,locat chosen,longer
 ph,birthday behalf,luck
mov,exclus anna,hair
t v,reunit thi,out
bt,part s,drama
orr,chiyaan vikram,bam
eek,s film,calm
lin,the second,global
whe,offici announc,turner
y w,s magnum,emilia
iss,font come,ive
top,come tomorrow,andi
ep,latest addit,reid
ife,next year,tannehil
oph,star cast,lol
tas,what i,turn
ote,big hit,straight
aly,novel mx,superbowl
tat,mx origin,titan
l e,origin seri,yeah
g p,sing out,memori
urn,good morn,wasnt
rai,j wavepop,poor
own,wavepop of,hug
ope,come russia,late
y m,to russia,took
rti,ru armi,didnt
 vo,we wait,spend
ami,russian armi,class
wo,russia we,sport
w t,concert moscow,liter
tio,bt concert,min
h b,im im,rest
s d,russia pleas,probabl
ris,my heart,ok
evi,i go,honestli
h f,women s,fuck
g f,best galatasaray,deserv
ppe,bam bam,leagu
ovi,we come,send
h w,welcom to,saw
phe,to hell,h
 ep,welcom hell,silli
shw,stadium bein,influenc
uru,bein sport,art
k w,light boy,marri
rie,i finish,partner
atu,three ey,k
l w,ey raven,apart
wee,rose lesli,collect
uch,rt amp,ur
nal,a song,wear
g i,nathali emmanuel,corner
s f,pre sale,courtesi
ock,sale access,translat
alk,access th,xi
l g,am gener,copi
mis,gener sale,highlight
d n,sale th,grandfath
oug,presal live,mar
iev,drama seri,awesom
y a,go chief,pop
ork,bad i,dress
bro,got ta,comeback
h a,go superbowl,reach
imi,everi time,ahead
emi,gave us,solid
ild,play one,earli
 bl,minut left,fli
 bt,like i,loss
upe,m proud,struggl
ien,i bet,includ
hit,match i,result
pe,tomorrow am,bu
 m,kansa citi,total
i k,citi tonight,shine
r f,right i,playlist
tal,believ i,everywher
tic,thi best,photographi
dul,shitti quarter,along
vi,quarter back,western
a b,work the,princess
s l,toni romo,greec
ege,time i,taso
lyu,head super,comment
u k,good job,karma
j s,like man,olympiaco
tag,play well,size
ric,one day,convert
ngr,im still,card
wha,you dont,notic
si,let goooo,tie
tl,cant wait,bro
ine,wait see,everyday
tit,feel good,delhi
hop,best place,citizen
de,harri colebourn,edit
