charTrigrams,wordBigrams,wordUnigrams
eek,semper tyranni,defens
i r,happili marri,pay
cit,marri thank,respect
 hi,thank sean,sure
eep,sean spicier,petit
a s,spicier take,pick
rio,take leav,oppos
oug,leav lefti,msm
erd,lefti hilari,given
vio,hilari seeth,color
ema,sandi hook,gender
tut,my thought,did
lov,va if,king
ec,well arm,reject
ign,patriot side,difficult
ce,side side,virginian
if,side peac,ca
dis,protest now,morn
orl,now juxtapos,report
 bu,juxtapos that,close
n e,that imag,especi
key,imag antifa,result
zad,antifa ralli,kind
l p,beyond polit,worth
eal,polit guy,prison
ace,guy it,gener
ple,u s,enough
rld,gun grab,militari
inc,it never,dear
rti,media lie,christian
aw,pictur like,wow
ood,januari th,impress
bla,men mask,urgent
c t,amp gun,welcom
cia,s last,e
d d,pay attent,hard
de,the gun,art
c s,gun crowd,enter
so,all gun,bomb
p s,no riot,gate
ocr,taken lead,next
tal,civil war,justic
ek,the answer,foreign
 sy,extremist white,planet
 ja,no gun,suffer
ras,buy one,hit
eur,seem pretti,modi
ash,american patriot,indian
old,arent problem,born
ath,could n,evid
n f,didnt envis,interview
r l,news media,mandela
ici,media democrat,candid
moc,would never,about
say,the msm,heard
d f,we let,fail
 it,a man,die
iol,some say,polici
mi,hype i,caus
eco,arm citizen,visit
to,defeat the,true
lan,we are,gov
eme,say today,legal
rre,today peac,case
hum,pro a,ralph
ge,use gun,ago
eet,peac demonstr,neo
k p,tucker carlson,dress
she,carlson s,kkk
rmi,s show,arent
ins,show talk,receiv
l r,say peopl,domest
hel,polit parti,cover
mar,violenc amp,interest
adi,shot kill,sent
wha,free speech,mostli
rri,northam i,bill
row,i blackfac,minor
k a,blackfac today,ignor
i b,did know,crime
hot,appli conceal,answer
ppi,conceal carri,can
r e,rosa park,buy
uro,we fight,msnbc
 az,freedom love,blackfac
sec,love american,mlk
i h,antifa infiltr,stood
uma,forget still,huge
ali,still dont,remind
tra,know governor,cold
fre,governor tri,seriou
n h,right virginia,capitol
ial,wear kkk,least
n i,robe one,truli
pat,wear blackfac,divers
d i,blackfac other,ground
fir,other elect,folk
ati,democrat look,charlottesvil
s t,look way,outsid
 ke,way stay,promis
vid,stay power,ban
mil,power think,wo
def,think crazi,whatev
l b,gun activist,with
d h,left s,super
imp,today and,h
llo,dont give,twitter
loo,these men,sorri
c a,and or,propaganda
y t,men right,dictatorship
lat,they n,posit
imm,support nd,tank
em,countri we,minut
nee,we compli,page
ang,capitol today,mark
d l,right must,sens
ave,infring upon,written
fig,come togeth,grate
 fu,right self,hold
let,disarm citizen,brave
c c,msnbc call,seek
dra,s import,climat
l g,group pick,eye
mak,thank everi,crimin
wee,everi person,learn
cro,ralli today,forward
m s,today you,special
no,peopl i,parliament
wer,truli proud,tractor
gro,last one,direct
yri,your tell,shame
leg,mani arm,pm
may,everyday american,hous
som,right the,violat
ade,i feel,rest
d n,peopl fli,along
 is,fli confeder,dalit
le,almost polic,tihar
 ro,arm peopl,bail
 pi,there no,hell
cel,we protect,aiim
syr,capitol ground,inhuman
kee,remind virginian,bit
cur,virginian vote,kid
t v,safeti and,warplan
efe,young black,idlib
cre,peopl white,shield
fac,owner like,suspect
s d,tri stir,dw
l m,thi n,commemor
el,peac amp,deadli
y p,attend today,manag
ili,violenc sinc,suggest
omm,assault weapon,might
mem,weapon ban,nelson
emb,there violenc,race
pec,patriot american,nice
i n,know gun,urg
oll,gun nut,fact
ean,im glad,debat
ssa,glad hear,wide
 ce,peopl clean,realiti
atr,t get,test
ns,thi is,refus
ndr,trump s,job
ud,s america,honesti
uge,thousand white,consist
reg,a well,should
whe,well regul,west
sur,regul militia,disappoint
e o,militia necessari,subject
fer,necessari secur,smoke
sol,secur free,appli
kil,free state,anymor
lon,state right,non
pas,right peopl,definit
 pu,peopl keep,wave
l f,keep amp,chant
t k,amp bear,tour
lin,arm shall,donald
 of,shall infring,lawmak
las,we peopl,stage
rth,these peopl,y
efu,we got,imag
rda,got other,charact
 tw,other back,emerg
emi,go make,januari
egi,law enforc,term
ham,ai n,reach
l w,black woman,latest
lk,woman walk,public
gan,virginian today,la
esp,unit stand,win
thr,hide behind,blood
pon,violenc crowd,calm
s w,god given,crazi
vic,stand togeth,assault
d e,ye i,incid
s g,black american,theyr
g s,even know,or
 ab,law theyr,name
esi,h t,infring
des,heather heyer,upon
rai,and i,attempt
ork,t give,road
c p,t care,concern
hoo,when larg,fli
his,bill right,recent
iot,gather msm,clean
lim,msm call,set
oud,want destroy,deserv
 jo,fake new,sinc
lie,stop peopl,assembl
mb,protest amp,pray
ers,white peopl,worri
vot,media ignor,courag
eth,gun keep,necessari
h c,keep peac,bear
e v,peac keep,isnt
rit,enemi of,motiv
s m,african american,at
ci,i say,exist
ol,s violenc,repres
wel,novemb elect,insurrectionist
mbe,chamber gener,articl
ese,gener assembl,act
rc,undermin democraci,toler
ens,left w,shout
k w,look punk,novemb
fen,know re,accus
equ,our brother,entir
rin,brother amp,imagin
lle,thousand peopl,wasnt
bid,support amp,anyth
s r,pass law,enjoy
bl,democrat take,commit
l i,gather outsid,instead
mig,california s,abl
til,last year,offici
ivi,these patriot,due
liv,found father,out
gen,never forget,train
ett,im go,less
wou,ve seen,final
cri,share stori,site
sk,common sens,daili
nis,go home,announc
ssi,say they,dark
ith,right life,strike
tec,the crowd,have
w t,kill children,sport
ser,also part,farm
kha,i proudli,throughout
m c,walk around,doctor
lar,around mask,mainstream
sli,right bear,tear
 fl,out northam,ga
n n,amend wasnt,overr
rch,wasnt written,minist
 or,must protect,land
ous,in case,request
tea,take gun,reveng
ich,northam nd,high
wit,one favorit,dream
ppe,dr king,soul
alk,sound like,afghanistan
a t,more peopl,light
spi,in the,them
spo,public properti,dissent
ext,support brother,harass
ffe,must read,queen
y c,what s,cardiac
lla,how long,trend
leb,want take,present
fe,amp a,shah
eni,peopl n,spoken
rep,test ground,drive
 ru,we know,crush
p p,re go,student
eti,so white,boom
i o,need get,npr
rum,amp i,sex
fug,run presid,islam
s i,he said,load
a b,climat strike,confirm
i e,strike mainz,money
 ju,the first,probabl
a a,first count,deleg
rli,th januari,healthcar
yes,assist suicid,iraq
y m,i rememb,quit
ier,tractor protest,head
low,thi happen,republican
mme,farmer demonstr,hurt
pic,farmer bavaria,liar
hil,bavaria thuringia,over
w a,thuringia way,cours
orc,on tractor,rather
col,farmer protest,idea
ery,farmer s,ppl
rge,protest germani,worker
ult,make life,suck
ekh,know fight,earli
gn,the revolt,divis
oci,revolt spread,safer
s e,spread throughout,jr
pri,media n,de
m a,we media,fall
 a,french govern,revolut
ret,s pension,cant
pi,french peopl,zero
own,emmanuel macron,monday
s f,fascist govern,base
i v,peopl arrest,within
nev,say hi,opposit
ask,the most,coverag
lis,current mood,agenc
ine,use art,warn
ire,hello march,wa
rst,teach state,counter
o w,french prime,tyrant
l l,must go,remov
oot,fiction charact,counti
pho,wait around,hilari
dre,the best,sheriff
mac,the turk,propos
ak,we dont,beyond
ize,the border,riot
zen,border greec,hundr
r n,extern border,push
use,europ and,russia
m p,the messag,involv
ah,enter greec,background
ebr,how anyon,natur
 ph,guard border,honor
orr,take respons,talent
e u,messag support,park
del,support around,infiltr
lso,greek author,were
mot,s border,panther
fri,border pleas,disarm
ami,peopl awar,trash
h g,support greec,told
jus,protect countri,everyday
che,sorri i,alli
orm,take action,block
lt,and peopl,environment
h t,poor refuge,pretend
d v,best reveng,volunt
nit,an eye,murder
a c,break new,ar
nal,polic forc,four
org,close border,joy
chi,tri invad,ten
oma,throughout histori,ahead
lif,tri enter,regul
soc,greec illeg,shall
umb,state fought,sir
t y,attack syrian,awesom
les,countri come,hide
ual,just day,behind
l n,help greec,declar
 va,defend border,most
mas,turkey announc,o
fin,border syria,met
 nu,i thought,count
azi,help refuge,shit
tiz,refugees migr,emot
fic,e u,trial
o s,time last,gunman
y w,go back,sister
pow,day we,press
gh,do want,seen
rov,provid free,later
h p,dear peopl,wing
ien,peopl difficult,sacrific
jai,difficult night,hashtag
cam,night greec,expos
dli,greec especi,simpl
eli,especi greek,except
erv,greek peopl,launch
iv,peopl protect,regard
did,pleas stand,p
rg,stand us,rise
g t,us stand,al
ick,greec attack,begin
uth,attack they,tire
eci,eu border,listen
tch,syria shame,statement
san,fuck crimin,low
hes,turkish militari,host
h r,they use,discuss
sit,come greec,cancer
wo,allahu akbar,favourit
saf,immigr attack,judg
ro,refuge migrant,short
g g,innoc peopl,firefight
t u,see open,pension
m i,keep border,macron
owe,border turkey,labour
bar,women children,brutal
ig,we turk,possibl
ife,europ border,teach
ecu,human be,system
 cu,be see,chat
uni,na finish,prevent
s l,presid erdogan,accept
vil,border gate,trust
mpl,europ we,chancellor
 ag,we keep,territori
age,foreign polici,kick
ump,talk human,those
p t,face of,increas
hol,block road,cross
pt,violat human,near
ink,we toler,finish
a r,children thi,situat
los,bashar al,mine
vis,al assad,throw
irs,good luck,basic
 sc,time put,regist
bac,put end,sun
arl,govern continu,hug
n v,human azad,detain
two,they think,favour
l h,year ago,tourcherd
afe,kamini lau,excus
ft,your heard,jamia
exp,heard voic,plz
mai,voic sun,bhim
zi,sun hear,alleg
upr,voic planet,apart
but,arrest polic,shine
tr,a million,etc
ip,want new,neither
rme,when dalit,ameen
igr,dalit stood,russian
br,stood gate,massacr
m t,gate jama,brand
als,masjid encircl,afd
 ve,encircl muslim,hall
alw,muslim love,poison
air,love hug,eight
arc,hug muslim,spend
 af,muslim reject,shoutout
