charTrigrams,wordBigrams,wordUnigrams
eci,azad whi,deed
lle,whi becaus,misde
 nu,becaus success,wealth
tan,success creat,hypocrisi
ina,creat dalit,univers
e o,dalit muslim,wast
vil,muslim uniti,serial
alj,uniti thi,saintrampalji
lji,thi divide,tie
onf,divide and,tree
s d,and rul,thieveri
irs,rul we,murder
fin,we fall,sahib
ffe,fall trap,descend
wer,care he,bird
jec,accus must,disord
ire,jantar mantar,abstain
ech,full swing,regul
tho,get bail,explain
gh,i ll,freedom
 yo,ll give,azaadi
s i,better leader,liber
cia,leader like,element
 ru,fight right,goat
hal,need medic,pond
ece,today s,rich
s h,releas asap,poor
olo,releas chandrasekhar,dowry
k s,azad jail,foeticid
eak,modi govt,america
sis,fight save,jean
ak,the constitut,dixon
row,suprem court,probabl
oss,high court,remain
lon,provid medic,injustic
sea,treatment save,satguru
 ci,life but,paradis
cit,but still,male
ner,jail use,obscen
ov,use right,kid
edu,get medic,walk
olk,box offic,occur
lka,seek medic,reform
d h,health condit,impart
ibe,amp provid,consumpt
eni,releas provid,convert
 pu,provid requir,special
voi,treatment immedi,top
elh,chandrashekhar aazad,liquor
lhi,say hi,weaker
y s,peopl india,section
rri,sign petit,both
emo,azad immedi,everybodi
gen,immedi releas,region
hen,tihar jail,prohibit
lov,like amp,reason
not,across countri,adulter
ud,if anyth,restor
esp,anyth happen,savioroftheworld
odi,chandra shekhar,within
eca,shekhar azad,creed
cau,how hell,gurudev
sou,hell delhi,mathura
g a,care chandrashekhar,publish
erv,chandrashekhar thi,magazin
mme,thi inhuman,globe
upr,need urgent,ofhgolden
log,under law,agea
y p,law deni,victori
ait,azad deni,worldguru
s g,armi chief,whether
ta,azad may,effort
 et,seem like,bad
sch,they stand,equal
xt,if you,everywher
epi,love india,perfect
rev,india reject,absolut
gio,pleas call,hashtag
kil,call save,karma
atv,must read,similar
ddr,constitut save,guid
c h,save india,light
als,india give,welfar
lso,free netflix,reveal
any,call oppos,hr
g i,it cell,view
de,i done,much
pow,rd day,sequenc
les,ask peopl,poster
l g,maulana asad,screenplay
kar,asad raza,gon
pri,raza hussaini,anushka
if,trend number,princess
ret,social media,chosen
mod,make fun,mid
l w,we celebr,process
pos,young girl,biggi
og,noor hous,wrap
imm,i start,busi
des,peopl need,grandma
s m,pleas watch,cri
to,world leader,hors
 aw,pm india,platform
awa,kick start,classic
ign,start new,raja
lar,y all,mention
ppo,year may,ace
sah,import role,crew
o o,on first,list
g f,day i,multi
orm,one best,longer
nat,year s,addit
etc,s wish,thailand
rib,one favorit,goe
 ep,us need,veri
mos,era full,learn
m t,full peac,lyca
gov,i want,colleg
wel,drug intoxic,filmmak
cla,societi knowledg,partner
ine,complet elimin,vijay
 ke,ji follow,record
eme,follow struggl,translat
oug,struggl make,c
rug,make world,volum
emb,world free,appreci
ncl,free social,drop
ken,social edit,close
mpo,edit bring,quot
phi,bring kalyug,global
r f,santhan rampal,narendra
ank,maharaj world,discoveri
cip,world appear,entrepreneur
dha,appear uplift,seci
