charTrigrams,wordBigrams,wordUnigrams
ata,as the,armed
 us,the system,especially
tod,do i,refugees
cha,each other,stronger
own,listen the,yours
go,the message,confused
may,millions of,havent
de,there are,states
mp,gender equality,believing
mat,is now,called
 ce,time for,super
r c,to embrace,airstrike
ble,embrace the,group
ost,the new,allegedly
a b,all our,preparing
m a,heres to,carry
d c,we know,pilots
 ga,know them,reached
ul,them may,photoshop
y m,to contribute,truth
ins,contribute to,image
ile,all friends,eu
che,is perfect,circle
 or,a woman,oppressed
ank,woman while,presidents
loo,while driving,iha
 ve,of my,find
ory,does it,loves
r f,day on,blood
 gi,to call,earth
 ac,happy birthday,lord
ech,project was,history
r p,of and,return
a m,to get,km
kno,a life,crying
lly,to raise,hearing
red,to and,warplane
sed,back to,sounds
let,watch s,bomb
ned,t wait,school
ren,and are,bakery
ani,next weekend,says
n b,excited to,changing
rge,next week,force
 pi,to sleep,taksim
mus,to you,middle
 ag,amp that,east
nst,my mom,job
h s,s with,sir
fin,wish you,level
r m,you were,bayraktar
den,and a,fate
ssa,the weekend,continued
sar,got the,almighty
les,my baby,success
n f,and it,revenge
ree,show must,difficult
ote,must go,western
e k,go on,impact
o h,to live,hatay
f a,over the,minute
ern,it doesn,conflict
ity,doesn t,moving
sin,you cease,killed
 na,cease to,talking
 cr,islam in,towards
dro,the night,im
med,your eyes,doing
ces,they were,ten
ial,my eyes,standing
s e,to everyone,yesterday
fig,happy and,tell
rk,learn to,st
aga,bye bye,taking
em,he is,beauty
up,does not,try
car,with him,greece
jus,be one,refugee
 un,believe in,greek
spr,people stand,ask
abo,up for,winter
ays,now it,hard
sen,s time,direction
s g,photo by,name
el,west side,guns
r h,side niggaaa,borders
mar,r amp,security
wn,why not,line
pri,wish all,crisis
isi,to make,province
y c,everyone who,whole
l s,the only,move
tre,one who,area
ard,too and,talented
ade,if i,bashar
eek,kanal d,al
 up,of all,location
na,only half,breaking
ite,you do,wedding
ini,and i,both
tiv,him like,able
 bi,a lot,precautions
anc,here for,finish
g f,care of,kick
eam,the champions,posts
r l,warming up,louder
pe,water and,positive
ase,to for,treatment
wel,only for,lost
nge,love love,son
ger,can do,weeks
any,my babies,injured
ms,is for,attacks
o i,and and,put
hos,there s,brother
ven,very proud,b
t n,as and,wing
bel,did it,authorities
lie,kuzey and,understand
erf,to mind,close
l p,up of,final
hem,re gonna,special
shi,so bad,mouse
whi,an amazing,big
att,trying to,count
hot,a look,clock
 ex,would like,app
nts,bu ne,wear
rot,on my,system
if,would be,sin
has,king is,monday
rd,you love,listen
ien,your wife,government
nds,would you,millions
rn,your head,square
top,believe fight,cat
ran,your nightmare,sea
a t,nightmare is,anyone
egi,back again,whats
ic,today lions,dreams
las,team galatasaray,national
adi,the top,equality
h g,in we,map
ppy,we trust,positions
new,time at,embrace
ew,make it,brightest
d l,next station,potential
eal,all over,heres
cti,we believe,contribute
ook,galatasaray today,change
tea,today pm,goals
aha,pm local,until
 kn,local time,safety
sol,time live,actors
ier,live on,couples
ny,and win,african
n y,never forget,driving
 ru,best of,dance
uss,have drogba,same
sia,drogba they,shout
o f,hell e,l
im,e bir,wind
try,bir gel,control
gai,came back,wonderful
cen,decisions decisions,thought
ari,a place,filming
eco,thursday medical,favorite
r d,way of,measures
 ju,that you,gym
hy,coming soon,room
g o,to us,writer
she,istanbul turkey,mad
 ea,its first,makes
eed,first demo,moment
e u,demo flight,someone
ous,s make,lol
 gu,of technology,tonight
des,the latest,taken
m i,saad jabbar,tigers
s r,jabbar chaudhary,mighty
u r,his project,mom
ond,largest technology,goal
olo,million visitors,drive
aaa,last day,enjoy
rte,underwater robotics,ive
giv,won the,themselves
nit,at in,india
py,the team,nov
h i,the prototype,definitely
its,flying car,created
iss,and produced,saw
ife,watch an,aleppo
 fl,an arrival,doesn
o g,arrival of,cease
ray,s passenger,dream
har,passenger aircraft,drink
d f,aircraft to,wow
rce,to at,nothing
y e,at festival,th
a w,festival of,guitar
ldi,of aviation,hours
enc,week in,bugun
u w,more than,lie
a l,the event,faithful
w t,chance to,starts
tat,san francisco,cok
tes,interview with,ig
ait,new generation,dahan
lle,airport in,then
y p,to turkey,church
o r,turkey for,pink
rec,the second,geliyor
hil,at istanbul,destinations
k a,fighter jet,cafe
dy,in days,side
mbe,at least,niggaaa
sid,aircraft in,vol
ath,to meet,could
nk,the raider,omg
mes,has become,too
emb,become the,doesnt
rit,technology and,photos
m t,which we,kanal
reg,s largest,cenk
ero,second biggest,half
dow,biggest event,remember
bac,car plane,parts
f y,i hope,likes
eri,for his,act
l f,instead of,person
log,and praying,lot
lit,chinese virus,excellent
aki,corona virus,gorgeous
dis,be safe,wrong
ok,out is,family
ici,will break,nedim
chn,break your,champions
liv,stay safe,warming
spe,the chinese,heard
lco,stop eating,actress
 cl,this virus,battle
ane,this movie,shine
iev,confined to,bodies
gal,kids we,babies
ge,didnt come,scared
a g,come for,told
vid,for petroleum,guess
tru,petroleum we,model
oul,for showing,played
uld,the beauties,trying
age,beauties of,sad
goi,of nature,ending
why,nature we,funny
t p,to share,bu
tas,share our,ne
p t,our love,hopefully
n h,love we,belong
hei,for creating,step
iru,creating a,wife
onl,more livable,head
nly,livable world,nightmare
gim,turkish armed,legend
h d,armed forces,knock
cto,dont like,top
nti,to war,hosted
won,didnt say,went
cau,didnt know,red
 hu,and especially,lead
 ye,especially europe,station
rem,europe please,derby
ica,please a,local
ors,a warm,chelsea
l o,warm welcome,fc
lin,welcome for,drogba
sit,the refugees,e
 ra,most strongest,bir
ali,strongest army,gel
rni,know we,saturday
nee,we never,champion
lif,never rest,landing
i m,rest boom,hawk
 ro,army no,breathtaking
cem,no cleaner,presented
asa,cleaner stronger,manager
hah,stronger soldier,months
did,soldier was,ago
aut,was encountered,abeg
orc,encountered in,trend
cia,in any,companies
 eu,any army,saad
rop,world than,jabbar
m b,than yours,chaudhary
org,s war,worlds
d r,war on,prime
hes,on equal,underwater
l d,equal terms,robotics
tri,terms let,congratulations
deo,s see,students
rde,see who,prototype
ach,is strong,produced
nis,you want,among
h p,syria russia,scientists
oto,russia be,arrival
u c,be brave,passenger
r e,brave war,chance
esi,war like,san
u a,a lion,francisco
 bl,who did,bootcamp
ein,know also,interview
fri,also learned,phantom
ang,learned we,tech
ris,not want,generation
sad,want war,organized
sur,not say,public
eir,they said,open
a h,said the,september
 sc,the europeans,jet
f i,europeans are,display
w m,are civilized,least
edi,civilized but,join
eng,but they,raider
bec,they havent,valuable
mak,havent different,leaders
t r,different from,putin
rai,from animal,sep
pic,animal at,competition
mon,at behaviour,biggest
rti,the entente,sponsored
 ov,entente states,sience
 du,states fought,design
uri,fought not,cezeri
off,army but,seeing
nig,the faith,global
orn,faith of,worldwide
ise,turkish nation,instead
ext,nation and,praying
eet,and no,numbers
ala,no army,cuisine
hno,this world,declared
nol,world can,corona
ogy,can beat,inc
vir,beat a,sign
uti,a believing,break
say,believing nation,spreading
eur,nation the,wuhan
elc,the believed,videos
efu,forget gallipoli,hah
w w,here and,confined
onf,and ready,petroleum
n e,no doubt,beauties
o y,doubt that,share
ili,that turkish,livable
ten,are more,warm
vin,more powerful,strongest
led,powerful than,cleaner
oup,than brutal,encountered
tac,brutal people,equal
hed,so called,terms
ens,called super,lion
fea,super powers,learned
ori,powers of,europeans
ep,world pak,civilized
muc,pak turk,animal
nor,turk forces,behaviour
ita,the pillars,entente
g p,pillars of,fought
oes,of every,faith
n g,every muslim,beat
y l,muslim country,believed
sel,country of,gallipoli
oud,of tge,doubt
t y,tge world,brutal
eca,and these,powers
aus,these forces,pak
ets,are against,pillars
 tw,against of,tge
uck,them who,brutaly
d y,who kill,wishing
yes,kill innocent,recording
s y,muslims brutaly,dron
n r,wishing everyone,recorder
ded,everyone a,untruth
bre,a calm,nobody
wai,and peaceful,others
mis,peaceful day,sane
rac,airstrike against,voice
orm,against a,expansion
tte,a group,oil
fe,group of,civilians
 fu,of soldiers,bombed
gen,soldiers who,turkis
fes,were allegedly,defend
nex,allegedly preparing,neglected
xt,to carry,taste
jec,carry out,bessar
val,out a,siha
iva,a small,searching
abl,small video,holes
aid,video recording,attached
uro,recording drone,file
mos,drone while,armies
y n,while here,lebonan
ean,here turk,brothers
urs,turk dron,getting
bra,dron attack,intense
lio,attack an,shed
o l,an the,homeland
ugh,the pilots,cut
lli,pilots and,veins
pow,and video,belive
owe,video recorder,drons
lar,recorder drone,evangel
inn,drone reached,throughout
g e,reached to,embodiment
yon,to afghanistan,freedom
 sm,s just,independence
tta,just untruth,migrant
 ph,untruth photoshop,invasion
pho,photoshop work,friend
suc,work nobody,tyrant
m s,nobody should,beirut
sio,should do,lebanon
efe,do such,brought
dea,things please,crafts
a a,please don,var
sea,t spread,dlib
ary,spread such,enough
l n,things to,tring
g w,to others,controlled
eep,others let,backed
ark,let me,groups
f m,me show,party
aft,the truth,isis
vic,truth about,seluk
o p,about turkish,changed
oad,soldiers not,armymay
yea,not image,ours
pac,image just,vur
u s,just video,mehmedim
alk,video and,rewind
 pu,and from,fine
ink,from syria,play
ude,nation with,amin
ama,with an,art
duc,army we,amn
sec,are an,wondering
rna,army with,known
eme,finally a,hundreds
eti,a sane,short
omp,sane voice,reminder
iat,voice from,psychological
 ni,from eu,zone
h y,eu circle,destroying
til,circle turkey,targets
met,turkey going,militants
 m,going in,kraaaall
l e,war not,treats
lis,not for,inhumane
tit,for border,limit
rts,border expansion,violence
afe,expansion or,faced
roj,or oil,aminnn
oje,oil but,dozens
eth,but to,interior
bul,to save,intensifying
gy,save innocent,beast
cam,innocent syrian,godfather
bea,syrian civilians,motherfuckers
sha,civilians who,afraid
ref,were bombed,running
ges,bombed day,hugging
wan,day in,fair
a r,and day,martyrdom
mal,day out,happiest
h o,turkis will,homs
h f,will defend,demonstrators
sup,defend the,residents
ars,oppressed muslims,supporting
nno,muslims while,ppl
hop,while other,laughing
il,other muslim,dies
def,muslim countries,lemme
k y,countries just,ya
nse,just neglected,tsk
ves,will taste,effort
l c,taste death,downs
 if,death with,cry
dre,with bessar,smart
l w,bessar siha,lands
emi,siha and,blooded
rks,and iha,hand
thr,iha are,dictator
bee,coming start,puppet
pen,start searching,leader
rri,searching holes,sing
ito,please find,songs
sou,find the,joy
bei,the attached,problems
god,attached file,civil
exc,file to,invade
