charTrigrams,wordBigrams,wordUnigrams
inc,taken to,assault
ood,power of,theyre
its,him to,name
r g,the regime,upon
bla,release him,attempt
ws,bhim army,looking
fte,the day,gathered
ims,you love,death
ew,save constitution,since
p t,call to,necessary
w t,give missed,bear
des,against this,isnt
ned,we came,fuck
ocr,army in,o
 sy,army of,report
 ja,who were,asked
eur,poor why,insurrectionists
why,war is,destroy
lie,for so,november
lan,nor a,election
rre,turkey will,hands
bec,turkish air,imagine
tel,allah protect,wasnt
ash,assad regime,anything
old,in peace,tanks
bei,were shot,wanted
ath,found dead,instead
ici,along with,able
g o,his mother,due
moc,attack took,less
say,dw news,extremism
iol,wing terrorist,site
aft,germany has,daily
a l,the deadly,holding
eni,in which,fire
 ot,but that,strike
uri,every single,play
eco,to work,assisted
lli,a thread,tractors
n l,commemorate the,spreading
nly,the many,throughout
chi,born in,mainstream
hum,the incredible,gas
eca,a bit,dictatorship
eet,happy international,shame
wn,a woman,overrated
vin,incredible women,minister
owe,women at,tweet
hil,my daughter,action
l n,celebrate women,revenge
a f,u know,eye
tiv,of women,high
il,wants to,opened
dy,to change,respect
o r,can we,rest
mes,you you,assistance
hel,of social,dream
mar,the civil,refugee
od,to this,friend
o g,m a,afghanistan
a a,not the,stands
row,fighting to,gates
yes,s not,killing
l p,have you,planet
hot,know how,light
pe,civil rights,treated
uro,comes to,creating
 az,i guess,dissent
nee,being a,suffer
g s,s your,cardiac
sec,s just,hearing
s y,of course,shah
ves,to one,spoken
l r,you could,urgent
cre,side of,npr
uma,wouldn t,sex
o o,some people,turk
y r,how about,minute
h s,is that,suspect
fre,just for,bar
l w,so why,terrorism
oti,for cause,commemorate
fir,cause getting,played
oll,to visit,inspire
 ke,visit nelson,tweeting
vid,mandela amp,money
uni,amp voting,probably
mil,voting for,cut
def,the iraq,passed
 fu,iraq war,healthcare
onl,war amp,iraq
imp,amp being,quite
llo,so stupid,races
mos,stupid as,candidate
f y,as to,secure
loo,be sucked,urged
ili,sucked in,lying
ary,in by,hurt
m i,someone as,stories
azi,as dumb,liar
imm,dumb as,decided
ang,as bush,course
s u,bush is,rather
efe,is way,test
i w,way better,working
adi,than integrity,ppl
fig,integrity honesty,workers
let,honesty amp,policy
r d,amp consistency,early
dra,consistency of,safer
las,is fighting,jr
n v,this time,disappointed
mak,running for,de
cro,you see,revolution
 pi,needs to,red
gro,you think,cant
sio,feel safer,zero
yri,check out,monday
leg,a rally,destroyed
gh,virginia governor,dress
may,two weeks,smoke
l d,ready for,received
nes,and if,member
 ro,subject to,within
d g,your protest,reason
cel,new video,protecting
syr,day after,voices
kee,peaceful protest,hi
als,an armed,coverage
cur,society is,waving
anc,yesterday i,flags
d u,i wish,chanting
gen,now you,controlled
l b,the kkk,counter
fac,the base,organized
ene,stay safe,thoughts
fer,that are,bills
gs,gun violence,proposed
omm,do is,enforced
mem,stand for,beyond
emb,their rights,oppose
pec,domestic terrorists,hundreds
ean,let me,minorities
ssa,was arrested,crime
 ce,arrested for,russia
atr,he will,extremist
ndr,to undermine,checks
uge,what happened,buy
ppy,white supremacy,equal
g m,to remove,applied
reg,debate stage,yourselves
 ve,used to,dignity
sur,it out,panthers
ism,my thoughts,incidents
sm,the the,tried
n y,lack of,inspiring
ok,violence at,gives
w a,sheriff richard,follow
k i,richard vaughan,trash
go,vaughan of,road
rth,of grayson,patriot
nme,grayson county,told
sol,county va,everyday
gan,the bills,officers
too,bills go,claimed
mme,go through,incredibly
kil,through as,patriotic
bee,as proposed,successful
lon,proposed they,folks
ked,be enforced,volunteers
pas,enforced they,color
 pu,are unconstitutional,deserves
esi,armed patriots,diverse
him,peacefully protesting,assembly
h i,the u,ar
ise,u s,four
nsi,on virginia,worry
rda,you missed,fucking
 tw,out the,courage
nis,the guy,ahead
ham,hes a,arrests
ann,guns are,regulated
ppe,masks and,shall
rce,and guns,shows
f p,amp the,carrying
